Feature,Importance
Glucose,0.39946748384297853
BMI,0.17738678895001778
Age,0.11483331950111346
DiabetesPedigreeFunction,0.08358959370463181
Insulin,0.07641941484073438
Pregnancies,0.05937984730208639
SkinThickness,0.046361890466154354
BloodPressure,0.04256166139228333
